date,GBR
2012/2/1,0.154
2012/3/1,0.23
2012/4/1,0.157
2012/5/1,0.162
2012/6/1,0.486
2012/7/1,0.379
2012/8/1,0.265
2012/9/1,0.457
2012/10/1,0.128
2012/11/1,0.395
2012/12/1,0.446
2013/1/1,0.288
2013/2/1,0.269
2013/3/1,0.402
2013/4/1,0.398
2013/5/1,0.133
2013/6/1,0.349
2013/7/1,0.256
2013/8/1,0.152
2013/9/1,0.174
2013/10/1,0.156
2013/11/1,0
2013/12/1,0.288
2014/1/1,0.234
2014/2/1,0.216
2014/3/1,0.125
2014/4/1,0.31
2014/5/1,0.118
2014/6/1,0.36
2014/7/1,0.181
2014/8/1,0.308
2014/9/1,0.364
2014/10/1,0.443
2014/11/1,0.244
2014/12/1,0.104
2015/1/1,0.384
2015/2/1,0.395
2015/3/1,0.994
2015/4/1,0.295
2015/5/1,0.595
2015/6/1,0.323
2015/7/1,0.404
2015/8/1,0.142
2015/9/1,0.22
2015/10/1,0.409
2015/11/1,0.534
2015/12/1,0.372
2016/1/1,0.449
2016/2/1,0.342
2016/3/1,0.537
2016/4/1,0.384
2016/5/1,0.467
2016/6/1,1.163
2016/7/1,1.574
2016/8/1,1.503
2016/9/1,1.364
2016/10/1,0.902
2016/11/1,0.938
2016/12/1,0.878
2017/1/1,0.484
2017/2/1,0.574
2017/3/1,0.519
2017/4/1,0.643
2017/5/1,0.459
2017/6/1,0.448
2017/7/1,0.32
2017/8/1,1.028
2017/9/1,0.467
2017/10/1,0.601
2017/11/1,0.658
2017/12/1,0.466
2018/1/1,0.563
2018/2/1,0.75
2018/3/1,0.474
2018/4/1,0.396
2018/5/1,0.415
2018/6/1,0.435
2018/7/1,0.388
2018/8/1,0.345
2018/9/1,0.7
2018/10/1,0.885
2018/11/1,0.898
2018/12/1,0.824
2019/1/1,1.249
2019/2/1,1.343
2019/3/1,1.125
2019/4/1,1.248
2019/5/1,1.676
2019/6/1,0.68
2019/7/1,1.007
2019/8/1,0.794
2019/9/1,1.157
2019/10/1,1.853
2019/11/1,1.354
2019/12/1,1.757
2020/1/1,1.559
2020/2/1,1.452
2020/3/1,1.284
2020/4/1,0.383
2020/5/1,0.546
2020/6/1,0.73
2020/7/1,0.824
2020/8/1,0.653
2020/9/1,0.978
2020/10/1,0.739
2020/11/1,0.4
2020/12/1,0.449
2021/1/1,0.821
2021/2/1,0.29
2021/3/1,0.268
2021/4/1,0.334
2021/5/1,0.598
2021/6/1,0.372
2021/7/1,0.507
2021/8/1,0.755
2021/9/1,0.624
2021/10/1,0.722
2021/11/1,0.349
2021/12/1,0.833
2022/1/1,0.486
2022/2/1,0.498
2022/3/1,0.359
2022/4/1,0.212
2022/5/1,0.141
2022/6/1,0.111
2022/7/1,0.209
2022/8/1,0.543
2022/9/1,0.267
2022/10/1,0.12
2022/11/1,0.346
2022/12/1,0.059
2023/1/1,0.402
2023/2/1,0.373
2023/3/1,0.56
2023/4/1,0.277
2023/5/1,0.491
2023/6/1,0.079
2023/7/1,0.18
2023/8/1,0.125
2023/9/1,0.155
2023/10/1,0.188
2023/11/1,0.258
2023/12/1,0.286
2024/1/1,0.451
2024/2/1,0.449
2024/3/1,0.389
2024/4/1,0.364
2024/5/1,0.289
2024/6/1,0.329
2024/7/1,0.197
2024/8/1,0.196
2024/9/1,0.331
2024/10/1,0.388
2024/11/1,0.42
2024/12/1,0.314
2025/1/1,0.371
2025/2/1,0.523
2025/3/1,0.602
2025/4/1,0.652
2025/5/1,1.197
2025/6/1,0.966
2025/7/1,0.935
2025/8/1,0.936
