date,EPU
2012/2/1,180
2012/3/1,239
2012/4/1,173
2012/5/1,246
2012/6/1,284
2012/7/1,142
2012/8/1,166
2012/9/1,152
2012/10/1,163
2012/11/1,142
2012/12/1,154
2013/1/1,133
2013/2/1,138
2013/3/1,155
2013/4/1,149
2013/5/1,122
2013/6/1,130
2013/7/1,130
2013/8/1,189
2013/9/1,161
2013/10/1,107
2013/11/1,79
2013/12/1,103
2014/1/1,95
2014/2/1,79
2014/3/1,66
2014/4/1,79
2014/5/1,89
2014/6/1,72
2014/7/1,104
2014/8/1,133
2014/9/1,115
2014/10/1,92
2014/11/1,120
2014/12/1,116
2015/1/1,120
2015/2/1,98
2015/3/1,53
2015/4/1,52
2015/5/1,63
2015/6/1,79
2015/7/1,51
2015/8/1,78
2015/9/1,85
2015/10/1,46
2015/11/1,48
2015/12/1,77
2016/1/1,70
2016/2/1,99
2016/3/1,92
2016/4/1,47
2016/5/1,53
2016/6/1,144
2016/7/1,78
2016/8/1,41
2016/9/1,33
2016/10/1,39
2016/11/1,73
2016/12/1,118
2017/1/1,84
2017/2/1,137
2017/3/1,66
2017/4/1,81
2017/5/1,39
2017/6/1,59
2017/7/1,62
2017/8/1,38
2017/9/1,78
2017/10/1,83
2017/11/1,63
2017/12/1,82
2018/1/1,39
2018/2/1,80
2018/3/1,42
2018/4/1,35
2018/5/1,38
2018/6/1,47
2018/7/1,63
2018/8/1,78
2018/9/1,64
2018/10/1,64
2018/11/1,69
2018/12/1,66
2019/1/1,65
2019/2/1,50
2019/3/1,41
2019/4/1,60
2019/5/1,84
2019/6/1,73
2019/7/1,70
2019/8/1,82
2019/9/1,106
2019/10/1,91
2019/11/1,50
2019/12/1,106
2020/1/1,48
2020/2/1,93
2020/3/1,110
2020/4/1,161
2020/5/1,168
2020/6/1,75
2020/7/1,108
2020/8/1,115
2020/9/1,82
2020/10/1,95
2020/11/1,69
2020/12/1,70
2021/1/1,84
2021/2/1,52
2021/3/1,41
2021/4/1,79
2021/5/1,73
2021/6/1,58
2021/7/1,77
2021/8/1,69
2021/9/1,49
2021/10/1,40
2021/11/1,23
2021/12/1,72
2022/1/1,70
2022/2/1,91
2022/3/1,121
2022/4/1,90
2022/5/1,69
2022/6/1,65
2022/7/1,81
2022/8/1,72
2022/9/1,68
2022/10/1,91
2022/11/1,77
2022/12/1,78
2023/1/1,51
2023/2/1,127
2023/3/1,72
2023/4/1,86
2023/5/1,48
2023/6/1,60
2023/7/1,56
2023/8/1,58
2023/9/1,33
2023/10/1,122
2023/11/1,105
2023/12/1,129
2024/1/1,130
2024/2/1,149
2024/3/1,92
2024/4/1,137
2024/5/1,83
2024/6/1,142
2024/7/1,193
2024/8/1,118
2024/9/1,143
2024/10/1,153
2024/11/1,105
2024/12/1,142
2025/1/1,169
2025/2/1,176
2025/3/1,133
2025/4/1,157
2025/5/1,99
2025/6/1,146
2025/7/1,82
2025/8/1,123
