date,IND
2012/2/1,0
2012/3/1,0.255
2012/4/1,0
2012/5/1,0
2012/6/1,0
2012/7/1,0.125
2012/8/1,0.115
2012/9/1,0.057
2012/10/1,0.061
2012/11/1,0
2012/12/1,0.126
2013/1/1,0
2013/2/1,0.062
2013/3/1,0.061
2013/4/1,0.239
2013/5/1,0.116
2013/6/1,0.205
2013/7/1,0.122
2013/8/1,0.132
2013/9/1,0.092
2013/10/1,0
2013/11/1,0.056
2013/12/1,0.135
2014/1/1,0.134
2014/2/1,0.241
2014/3/1,0.177
2014/4/1,0.187
2014/5/1,0.078
2014/6/1,0.051
2014/7/1,0.122
2014/8/1,0.048
2014/9/1,0.274
2014/10/1,0.056
2014/11/1,0.164
2014/12/1,0.205
2015/1/1,0.076
2015/2/1,0.327
2015/3/1,0.44
2015/4/1,0.092
2015/5/1,0.26
2015/6/1,0.185
2015/7/1,0.2
2015/8/1,0.062
2015/9/1,0.158
2015/10/1,0.148
2015/11/1,0.109
2015/12/1,0.064
2016/1/1,0.211
2016/2/1,0.056
2016/3/1,0.159
2016/4/1,0.062
2016/5/1,0.16
2016/6/1,0.104
2016/7/1,0.244
2016/8/1,0.34
2016/9/1,0.23
2016/10/1,0
2016/11/1,0
2016/12/1,0.425
2017/1/1,0.462
2017/2/1,0.447
2017/3/1,0.053
2017/4/1,0.097
2017/5/1,0.115
2017/6/1,0.154
2017/7/1,0.102
2017/8/1,0.151
2017/9/1,0.104
2017/10/1,0.227
2017/11/1,0.149
2017/12/1,0.13
2018/1/1,0.075
2018/2/1,0.119
2018/3/1,0.058
2018/4/1,0
2018/5/1,0.065
2018/6/1,0.06
2018/7/1,0.062
2018/8/1,0.221
2018/9/1,0.06
2018/10/1,0
2018/11/1,0
2018/12/1,0.122
2019/1/1,0.201
2019/2/1,0.169
2019/3/1,0.187
2019/4/1,0
2019/5/1,0.627
2019/6/1,0.249
2019/7/1,0.056
2019/8/1,0.24
2019/9/1,0.074
2019/10/1,0.068
2019/11/1,0.155
2019/12/1,0.265
2020/1/1,0.067
2020/2/1,0.189
2020/3/1,0.4
2020/4/1,0.129
2020/5/1,0.091
2020/6/1,0.103
2020/7/1,0.076
2020/8/1,0.099
2020/9/1,0.098
2020/10/1,0
2020/11/1,0.157
2020/12/1,0.054
2021/1/1,0.079
2021/2/1,0
2021/3/1,0.06
2021/4/1,0
2021/5/1,0.056
2021/6/1,0.094
2021/7/1,0
2021/8/1,0
2021/9/1,0.185
2021/10/1,0.067
2021/11/1,0
2021/12/1,0.183
2022/1/1,0.293
2022/2/1,0.185
2022/3/1,0.286
2022/4/1,0.389
2022/5/1,0.144
2022/6/1,0.094
2022/7/1,0.056
2022/8/1,0.137
2022/9/1,0.08
2022/10/1,0.115
2022/11/1,0.456
2022/12/1,0.137
2023/1/1,0.271
2023/2/1,0.366
2023/3/1,0.148
2023/4/1,0.229
2023/5/1,0.266
2023/6/1,0.129
2023/7/1,0.202
2023/8/1,0.16
2023/9/1,0.153
2023/10/1,0
2023/11/1,0
2023/12/1,0
2024/1/1,0
2024/2/1,0
2024/3/1,0
2024/4/1,0
2024/5/1,0.065
2024/6/1,0.13
2024/7/1,0.129
2024/8/1,0.129
2024/9/1,0.066
2024/10/1,0.128
2024/11/1,0.071
2024/12/1,0
2025/1/1,0.145
2025/2/1,0.214
2025/3/1,0.216
2025/4/1,0.491
2025/5/1,0.442
2025/6/1,0.427
2025/7/1,0.447
2025/8/1,0.409
