date,CPU
2012/2/1,0.838250918
2012/3/1,1.684192211
2012/4/1,2.159728836
2012/5/1,0
2012/6/1,1.401350771
2012/7/1,0.410457129
2012/8/1,0.575476336
2012/9/1,0.37831417
2012/10/1,0.929974423
2012/11/1,0.982745991
2012/12/1,0
2013/1/1,1.804196079
2013/2/1,1.073549421
2013/3/1,0
2013/4/1,0.554613145
2013/5/1,1.119371653
2013/6/1,1.249885624
2013/7/1,0.548810018
2013/8/1,0.297050083
2013/9/1,0.932651741
2013/10/1,1.56014406
2013/11/1,1.094348441
2013/12/1,0.75494291
2014/1/1,0.764903963
2014/2/1,0.52375735
2014/3/1,0.454961465
2014/4/1,0
2014/5/1,0.756498425
2014/6/1,0
2014/7/1,0.933046765
2014/8/1,0
2014/9/1,1.15366505
2014/10/1,0.908047573
2014/11/1,0
2014/12/1,0.52525594
2015/1/1,0.752364553
2015/2/1,0
2015/3/1,0.493155006
2015/4/1,0.267215358
2015/5/1,0
2015/6/1,0.50191921
2015/7/1,0.241707638
2015/8/1,0
2015/9/1,1.063443598
2015/10/1,0.716630908
2015/11/1,0.217122355
2015/12/1,0.900991171
2016/1/1,0.627256097
2016/2/1,0.636315255
2016/3/1,0.603540661
2016/4/1,0.432200002
2016/5/1,0.203296734
2016/6/1,0.59570671
2016/7/1,1.614750532
2016/8/1,0.210524026
2016/9/1,0.258923767
2016/10/1,0.496153922
2016/11/1,0.760677974
2016/12/1,0.862538533
2017/1/1,1.378205338
2017/2/1,1.199849353
2017/3/1,0.26357064
2017/4/1,1.467441655
2017/5/1,1.139344925
2017/6/1,1.158214202
2017/7/1,2.10662075
2017/8/1,0.295377234
2017/9/1,0.69470937
2017/10/1,0.39267797
2017/11/1,1.020817151
2017/12/1,0.875217883
2018/1/1,0.330769281
2018/2/1,0.790428207
2018/3/1,0.628688189
2018/4/1,0.278992327
2018/5/1,0.812287394
2018/6/1,0.299962338
2018/7/1,1.141115469
2018/8/1,0.273179987
2018/9/1,0
2018/10/1,0
2018/11/1,0.315424315
2018/12/1,0.750059044
2019/1/1,1.10699669
2019/2/1,0.780348357
2019/3/1,0.288870104
2019/4/1,0.599434942
2019/5/1,2.19852636
2019/6/1,0.674915261
2019/7/1,0
2019/8/1,0.495484348
2019/9/1,0.513501961
2019/10/1,0.988301217
2019/11/1,0
2019/12/1,0
2020/1/1,0.57728601
2020/2/1,1.92900474
2020/3/1,1.428614405
2020/4/1,0.561397404
2020/5/1,1.207743099
2020/6/1,2.331135886
2020/7/1,1.932388958
2020/8/1,0.808709035
2020/9/1,0.758582442
2020/10/1,4.106866914
2020/11/1,3.872931457
2020/12/1,4.961539218
2021/1/1,0.734307804
2021/2/1,0.777868437
2021/3/1,2.176801791
2021/4/1,1.29279543
2021/5/1,0.633023969
2021/6/1,1.301964192
2021/7/1,0
2021/8/1,0.667552549
2021/9/1,1.624574788
2021/10/1,4.220159794
2021/11/1,3.319655534
2021/12/1,3.356068575
2022/1/1,2.734852157
2022/2/1,1.539429359
2022/3/1,3.714879279
2022/4/1,1.362352141
2022/5/1,4.928240297
2022/6/1,1.870053831
2022/7/1,2.599319661
2022/8/1,0.660348745
2022/9/1,4.319457672
2022/10/1,3.898979491
2022/11/1,1.991793321
2022/12/1,4.681379444
2023/1/1,4.012610952
2023/2/1,2.043528212
2023/3/1,2.349784973
2023/4/1,2.066532282
2023/5/1,1.248822796
2023/6/1,0.638528525
2023/7/1,0.617065382
2023/8/1,1.826636329
2023/9/1,2.373839884
2023/10/1,1.34242743
2023/11/1,0.599924677
2023/12/1,2.808060437
2024/1/1,1.838834234
2024/2/1,0.663931107
2024/3/1,1.79977403
2024/4/1,2.387992859
2024/5/1,1.136699387
2024/6/1,3.209387256
2024/7/1,0.584639972
2024/8/1,0
2024/9/1,2.039743901
2024/10/1,0.609890203
2024/11/1,1.935785073
2024/12/1,2.391882098
2025/1/1,0.760153006
2025/2/1,1.922271739
2025/3/1,2.346031323
2025/4/1,2.009966617
2025/5/1,4.224574187
2025/6/1,4.10993174
2025/7/1,2.332193571
2025/8/1,4.311004721
