date,KOR
2012/2/1,0.526
2012/3/1,0.525
2012/4/1,0.572
2012/5/1,0.561
2012/6/1,0.479
2012/7/1,0.489
2012/8/1,0.431
2012/9/1,0.495
2012/10/1,0.403
2012/11/1,0.327
2012/12/1,0.444
2013/1/1,0.363
2013/2/1,0.136
2013/3/1,0.07
2013/4/1,0.352
2013/5/1,0.209
2013/6/1,0.075
2013/7/1,0.212
2013/8/1,0.189
2013/9/1,0.168
2013/10/1,0.207
2013/11/1,0.089
2013/12/1,0
2014/1/1,0.383
2014/2/1,0.488
2014/3/1,0.534
2014/4/1,0.442
2014/5/1,0.267
2014/6/1,0.442
2014/7/1,0.239
2014/8/1,0.274
2014/9/1,0.165
2014/10/1,0.099
2014/11/1,0.172
2014/12/1,0.08
2015/1/1,0.135
2015/2/1,0.341
2015/3/1,0.164
2015/4/1,0.172
2015/5/1,0.07
2015/6/1,0.185
2015/7/1,0.079
2015/8/1,0.057
2015/9/1,0.099
2015/10/1,0
2015/11/1,0
2015/12/1,0.079
2016/1/1,0.202
2016/2/1,0
2016/3/1,0
2016/4/1,0
2016/5/1,0.076
2016/6/1,0
2016/7/1,0.118
2016/8/1,0.412
2016/9/1,0
2016/10/1,0.083
2016/11/1,0.083
2016/12/1,0.28
2017/1/1,0.202
2017/2/1,0.233
2017/3/1,0.081
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0.062
2017/9/1,0.084
2017/10/1,0
2017/11/1,0
2017/12/1,0.085
2018/1/1,0.232
2018/2/1,0
2018/3/1,0
2018/4/1,0.088
2018/5/1,0.084
2018/6/1,0.133
2018/7/1,0.118
2018/8/1,0.151
2018/9/1,0.074
2018/10/1,0.188
2018/11/1,0.18
2018/12/1,0.168
2019/1/1,0.086
2019/2/1,0.081
2019/3/1,0.231
2019/4/1,0.231
2019/5/1,0.087
2019/6/1,0
2019/7/1,0.092
2019/8/1,0
2019/9/1,0.237
2019/10/1,0.257
2019/11/1,0
2019/12/1,0
2020/1/1,0.138
2020/2/1,0.272
2020/3/1,0.087
2020/4/1,0.15
2020/5/1,0.127
2020/6/1,0
2020/7/1,0
2020/8/1,0.193
2020/9/1,0.047
2020/10/1,0.231
2020/11/1,0.211
2020/12/1,0.139
2021/1/1,0
2021/2/1,0
2021/3/1,0.072
2021/4/1,0
2021/5/1,0
2021/6/1,0.165
2021/7/1,0.166
2021/8/1,0.14
2021/9/1,0.308
2021/10/1,0.134
2021/11/1,0
2021/12/1,0.269
2022/1/1,0.279
2022/2/1,0.255
2022/3/1,0.213
2022/4/1,0.354
2022/5/1,0.192
2022/6/1,0.068
2022/7/1,0
2022/8/1,0.144
2022/9/1,0
2022/10/1,0.073
2022/11/1,0.35
2022/12/1,0.236
2023/1/1,0.189
2023/2/1,0.15
2023/3/1,0.166
2023/4/1,0.085
2023/5/1,0.409
2023/6/1,0.101
2023/7/1,0
2023/8/1,0.131
2023/9/1,0.077
2023/10/1,0
2023/11/1,0
2023/12/1,0
2024/1/1,0
2024/2/1,0
2024/3/1,0
2024/4/1,0
2024/5/1,0
2024/6/1,0.064
2024/7/1,0.063
2024/8/1,0.131
2024/9/1,0.125
2024/10/1,0.124
2024/11/1,0.123
2024/12/1,0.145
2025/1/1,0.145
2025/2/1,0.352
2025/3/1,0.36
2025/4/1,0.363
2025/5/1,0.566
2025/6/1,0.566
2025/7/1,0.325
2025/8/1,0.178
